video_id,title,description,published_at,channel_id,channel_title,tags,category_id,view_count,like_count,favorite_count,comment_count,duration,definition,caption
kZfz5UlsHlQ,"DARLING, I (Official Video)","directed by TYLER OKONMA\ndp: LUIS ""PANCH"" PEREZ\nproduction: TARA RAZAVI for Happy Place","2025-08-19T17:09:11Z",UCsQBsZJltmLzlsJNG7HevBg,"Tyler, The Creator","chromakopia,tyler the creator,darling i,teezo touchdown,nia long,lionel boyce,lauren london,willow smith,ayo edebiri",2,1042576,181841,0,13958,PT4M49S,hd,false
9txkGBj_trg,"Call of Duty: Black Ops 7 | Gameplay Reveal Trailer","Call of Duty®: Black Ops 7 redefines the franchise with a reality-shattering Co-Op Campaign, adrenaline-fueled Multiplayer across 18 launch maps, and the chilling return of Round-Based Zombies. Embrace the madness and experience the most mind-bending Black Ops yet.","2025-08-19T18:08:38Z",UC9YydG57epLqxA9cTzZXSeQ,"Call of Duty","call of duty,cod,activision",20,5991411,25012,0,13127,PT2M20S,hd,false
HVC_dBNUZGc,"gamescom Opening Night Live 2025","Live from Cologne – the big opening show of gamescom 2025! Geoff Keighley and Sjokz will host gamescom Opening Night Live 2025 featuring world premieres, exclusive announcements and international gaming highlights:  \n\n• World premiere of Call of Duty: Black Ops 7 \n• New reveal for Resident Evil Requiem \n• Updates on Fallout Season 2 \n…and much more! \n\n\ud83d\udcc5 Live on Tuesday, August 19 at 8:00 PM (CEST), 7:00 PM (BST), 2:00 PM (ET), 11:00 AM (PT) \n\ud83d\udc49 Follow us on X | Instagram | TikTok | LinkedIn   \n\ud83c\udf9f️ Get your tickets at https://www.gamescom.global \n\n#gamescom #gamescom2025 #gamescomONL","2025-08-19T20:15:33Z",UCHo_GVNoKNqfJx6zUGRd6YQ,gamescom,"",24,1540057,35942,0,667,PT3H14S,hd,false
5dA094oAy-g,"Twenty One Pilots - Drum Show (Official Video)","Official video for the new single “Drum Show” from the forthcoming album Breach, out September 12th. \n\nPre-order / Pre-save Breach: https://top.lnk.to/breach\nStream/Download ""Drum Show”: https://top.lnk.to/drumshow\n\nTHE CLANCY TOUR: BREACH 2025\nTickets and info at https://twentyonepilots.com/tour\n\nSEP 18 - Cincinnati, OH @ TQL Stadium - SOLD OUT\nSEP 20 - Toronto, ON @ Budweiser Stage - SOLD OUT\nSEP 21 - Toronto, ON @ Budweiser Stage\nSEP 23 - Milwaukee, WI @ American Family Insurance Amphitheater\nSEP 24 - Tinley Park, IL @ Credit Union 1 Amphitheatre\nSEP 27 - Hershey, PA @ Hersheypark Stadium\nSEP 28 - Burgettstown, PA @ The Pavilion at Star Lake\nSEP 30 - Hartford, CT @ XFINITY Theatre\nOCT 01 - Bangor, ME @ Maine Savings Amphitheater\nOCT 04 - Wantagh, NY @ Northwell at Jones Beach Theater\nOCT 05 - Bristow, VA @ Jiffy Lube Live\nOCT 07 - Virginia Beach, VA @ Veterans United Home Loans Amphitheater\nOCT 08 - Charlotte, NC @ PNC Music Pavilion\nOCT 10 - West Palm Beach, FL @ iTHINK Financial Amphitheatre\nOCT 11 - Tampa, FL @ MIDFLORIDA Credit Union Amphitheatre - SOLD OUT\nOCT 14 - Orange Beach, AL @ The Wharf Amphitheater\nOCT 15 - Alpharetta, GA @ Ameris Bank Amphitheatre - SOLD OUT\nOCT 17 - Birmingham, AL @ Coca-Cola Amphitheater\nOCT 19 - Rogers, AR @ Walmart AMP - SOLD OUT\nOCT 20 - Dallas, TX @ Dos Equis Pavilion - SOLD OUT\nOCT 23 - Chula Vista, CA @ North Island Credit Union Amphitheatre\nOCT 25 - Los Angeles, CA @ BMO Stadium - SOLD OUT\nOCT 26 - Los Angeles, CA @ BMO Stadium \n\nLYRICS\nPutting on a drum show.\n \nCompleted checklist for today,\nNow they have to let you out of your cage,\nFeeling stuck between a rock and a home,\nTwo places you do not want to go, so, so.\n \nHe’s putting on a drum show,\nEven now, even now,\nHe’ll take the longer way home,\nEven now, even now,\nHe’ll never, ever say so,\nHe drives fast just to feel it, feel it,\nHe drives slow if his song’s not over,\nDrown it out, drown it out.\n \nHe’d rather feel something than nothing at all,\nSo he swerves all around as his head starts to fall,\nTurns it up,\nStuck between a rock and a home,\nTwo places he does not want to go, so, so.\n \nI’ve been this way,\nI want to change.\n\nDirector: Mark C Eshleman for Reel Bear Media\nProducer: Nathan Bielski\nDOP: Alexander Elkins\nArtist Stylist: Laura Proepper\n\n1st AC: Drew Defosett\n2nd AC: Sarah Achor\n\nGaffer: Keith Keplinger \nKey Grip: Jared Greene\nBest Boy Grip: Max Fogle\nBest Boy Electric: Steve Vargo\nElectric: Drew Theiss\nGrip: Elijah Jimenez, Jon Coy\n\nArt Director: Lindsay Fishman\nProduction Coordinator: Dave Deibi Lawrence\nArt / Production Assistant: Janine Rupprecht\nProduction Assistant: Anna Schneider\nLocation Scout: Tami Jones\nPlayback: Brandon Maclean\nFabricator: Chris Peck for Revival Speed Shop\n\nColorist: Bryan Smaller for Company 3\n\nSubscribe for more official content from Twenty One Pilots: https://top.lnk.to/subscribe  \nSite: https://TOP.lnk.to/website \nStore: https://TOP.lnk.to/store \nSpotify: https://TOP.lnk.to/spotify \nApple Music: https://TOP.lnk.to/apple \nAmazon Music: https://TOP.lnk.to/amazon \nInstagram: https://TOP.lnk.to/instagram \nTwitter: https://TOP.lnk.to/twitter \nFacebook: https://TOP.lnk.to/facebook \nTikTok: https://TOP.lnk.to/tiktok \nYouTube: https://TOP.lnk.to/youtube\n\n#TwentyOnePilots #Breach #DrumShow","2025-08-18T17:30:06Z",UCBQZwaNPFfJ1gZ1fLZpAEGw,"twenty one pilots","twenty one pilots,twenty one pilots official,new twenty one pilots,breach,breach album,breach video,breach 2025,blurryface,21 pilots,clancy,breach leak,breach tour,musica de twenty one pilots,doubt,overcompensate,twenty one pilots live,clancy world tour,i promised you a contract,clancy official,clancy album,twenty one pilots tiktok,twenty one pilots new music videos,routines in the night,drum show,drum show lyrics",10,1973975,212769,0,14911,PT3M36S,hd,false
NZY5WiqeyQQ,"Fallout Season 2 - Official Teaser Trailer | gamescom 2025","Watch the Season 2 Teaser Trailer for Fallout, the live-action series based on the Bethesda-developed Fallout game series distributed by Amazon MGM Studios, and Kilter Films produced in association with Bethesda Game Studios and Bethesda Softworks.\n\nFallout is based on one of the most popular video game franchises of all time and is set 200 years after an apocalyptic event. The story follows the gentle denizens of luxury fallout shelters who are forced to return to the irradiated hellscape their ancestors left behind—and are shocked to discover an incredibly complex, gleefully weird, and highly violent universe waiting for them. The brief teaser trailer depicts Lucy MacLean and Cooper Howard venturing off across the wasteland with New Vegas in the distance, calling back to the famous game location in the franchise.\n\nFallout Season 2 stars Ella Purnell, Aaron Moten, Walton Goggins, Kyle MacLachlan, Moisés Arias, Frances Turner, and more. The Executive Producers for Fallout Season 2 are Jonathan Nolan and Lisa Joy, alongside Geneva Robertson-Dworet and Graham Wagner also serve as executive producers, creators, and showrunners. Todd Howard, Bethesda Game Studios, executive produces along with James Altman for Bethesda Softworks. \n\nFallout Season 2 is premiering in December 17, 2025, with the series also being renewed for Season 3.\n\n#IGN #gamescom2025","2025-08-19T18:55:58Z",UCKy1dAqELo0zrOtPkf0eTMw,IGN,"ign,gamescom,gamescom 2025,game trailer,game trailers,trailer,trailers,gaming,video games,video game trailer,video game trailers,new game trailers,new video game trailers,upcoming video games,new video games 2025,upcoming video games 2025,Fallout - Season 2 Teaser Trailer,fallout season 2",20,831185,58015,0,4846,PT2M43S,hd,false
QtkHiB7WKf4,"Kirby Air Riders Direct 8.19.2025","Join us on Aug 19 at 6 a.m. PT for a Kirby Air Riders Direct with director Mr. Sakurai. The livestreamed presentation will last roughly 45 minutes and provide an in-depth look at the upcoming Nintendo Switch 2 game.\n\nPre-order Kirby Air Riders for Nintendo Switch 2 today: https://www.nintendo.com/us/store/products/kirby-air-riders-switch-2/?utm_source=SW&utm_medium=soytnoa&utm_campaign=A1013-01&utm_id=A1013-01\n\nVisit Nintendo.com for more info: https://ninten.do/6008Spp2s\n\nSubscribe for more Nintendo fun: https://goo.gl/HYYsot\n\nFollow Nintendo of America\nX/Twitter: https://twitter.com/NintendoAmerica\nFacebook: https://www.facebook.com/NintendoAmerica\nInstagram: https://www.instagram.com/nintendoamerica\nTwitch: https://www.twitch.tv/nintendo\n\n#KirbyAirRiders #NintendoDirect #NintendoSwitch2","2025-08-19T13:58:38Z",UCGIY_O-8vW4rfX98KlMkvRg,"Nintendo of America","nintendo,game,gameplay,fun,video game,action,adventure,rpg,play,switch,nintendo switch",20,1294325,67730,0,5821,PT47M29S,hd,false
K5Sz9uw6me8,"Nino Paid - 3 Peat (ft. 1900Rugrat and VonOff1700) (Official Video)","The Official Youtube Channel For Recording Artist Nino Paid\n\nFollow Nino Paid:\nhttps://www.instagram.com/ninopaid/ \nhttps://www.tiktok.com/@cantgobacc1 \nhttps://twitter.com/cantgobacc \nhttps://soundcloud.com/ninopaid \nhttps://linktr.ee/ninopaid \n\nBooking Info: NinoPaidMGMT@gmail.com\n\n#NinoPaid #3Peat #Trending #vonoff1700 #1900rugrat","2025-08-19T19:00:27Z",UC2hFKZgVRe1b2CpULVgaCDA,"Nino Paid","",10,77798,8302,0,460,PT2M18S,hd,false
IRjuAemfaQE,"Sekiro: No Defeat | Official Trailer | Crunchyroll","Sekiro: No Defeat is coming exclusively to Crunchyroll!\n\nThe time is Sengoku.\n\nJapan is fractured into many independent nations entangled in ceaseless war. At the center lies Ashina, a land of sacred earth and ancient mystery. Two decades after Sword Saint Isshin Ashina reclaimed the region in a brutal coup, a new threat emerges from within: The Interior Ministry. Desperate to protect his homeland, Isshin’s grandson Genichiro turns to forbidden powers. The only hope lies in a kidnapped boy — the Divine Heir — and his silent protector: a loyal shinobi known only as Sekiro.\n\nThis is the story of a lord and his retainer — and their quest to restore balance to a nation on the edge.\n\nCrunchyroll brings you the latest clips, openings, full episodes, and more from your favorite anime!\n\nWATCH FULL EPISODES ON YOUTUBE 🌟 https://got.cr/cc-pt\n\nFREE 7-DAY CRUNCHYROLL TRIAL 🌟 https://got.cr/cc-7dayspv\n\n#Sekiro #Anime #Crunchyroll","2025-08-19T18:19:17Z",UC6pGDc4bFGD1_36IKv3FnYg,Crunchyroll,"sekiro,sekiro anime,sekiro shadows die twice,sekiro no defeat,crunchyroll,anime,anime preview,anime trailer,anime pv,sekiro anime trailer,sekiro trailer",1,947397,95998,0,5654,PT1M13S,hd,false
e_ppaeEbRKo,"steal a brainrot admin abuse (taco tuesday)","roblox steal a brainrot admin abuse live (taco tuesday)\n✅ BECOME A MEMBER - https://www.youtube.com/kreekcraft/join\n🎥 KREEKCRAFT CLIPS - https://www.youtube.com/@KreekCraftHub\n\n🛸 KREEKCRAFT MERCH - https://kreekcraft.stream\n📱 KREEKCRAFT CAMEO - https://www.cameo.com/kreekcraft\n\n#live #roblox #stealabrainrot \n---------------------------------------------------------\n🐦 TWITTER - https://twitter.com/kreekcraft\n📸 INSTAGRAM - https://www.instagram.com/kreekcraft\n📱 TIKTOK - https://www.tiktok.com/@dakreekcraft\n👻 SNAPCHAT - https://www.snapchat.com/add/kreekcraft\n💜 TWITCH - https://www.twitch.tv/kreekcraft\n💬 DISCORD - https://discord.gg/kreekcraft\n---------------------------------------------------------\n\nNew to Roblox? Create an Account!\nhttps://www.roblox.com/join/kreekcraft\n\n🟥 ROBLOX PROFILE - https://www.roblox.com/users/140258990\n🟦 ROBLOX GROUP - https://www.roblox.com/groups/3072234\n\n📧 BUSINESS EMAIL - kreek@ellify360.com","2025-08-19T22:53:04Z",UCxsk7hqE_CwZWGEJEkGanbA,KreekCraft,"",20,1183647,18579,0,586,PT2H25M8S,hd,false
HNVmORZhgxI,"T-Pain - Bartender (Lyrics) ft. Akon","T-Pain - Bartender (Lyrics) ft. Akon\n🎧 Listen/Download: https://open.spotify.com/track/5kxddRG1RZaZROadk7iC4D\n🔔 Subscribe to get updates on new uploads!\n\n➡️ T-Pain\nhttps://www.instagram.com/tpain\nhttps://linktr.ee/tpain\n\n➡️ Akon\nhttps://www.instagram.com/akon\nhttps://open.spotify.com/artist/0z4gvV4rjIZ9wHck67ucSV\n\n📲 Connect with SoundKream: \nhttp://soundkream.io\n\nFollow us on Spotify: \nhttp://spotify.soundkream.io\n\n🎤 Lyrics:\n\nYeah, uh-huh\nYeah, yeah\nYeah\nBroke up with my girl last night so I went to the club (So I went to the club)\nPut on a fresh white suit and the mini-coupe sittin' on dubs (Sittin' on dubs)\nI'm just lookin' for somebody to talk to and show me some love (Show me some love)\nIf you know what I mean, uh-huh\nEverybody jockin' me as soon as I stepped in the spot (I stepped in the spot)\nTwo hundred bitches in the building, ain't none of them hot (Ain't none of them hot)\nExcept for this pretty young thang that was workin' all the way at the top (On the way, at the top)\nShawty, what is your name?\nOoh, she made us drinks to drink, we drunk 'em, got drunk\nAnd I think she thinks I'm cool\nShe gave me a wink, I winked back, and then I think that\nWe hit it off somethin' proper like\nI like the bartender (Ooh, if you lookin' for me)\nI'm at the bar with her (Oh oh oh uh-huh, okay)\nI like the bartender (Yeah, if you lookin' for me)\nI'm at the bar with her (Oh oh oh uh-huh, okay)\nGot a brand new girl so I'm feelin' all good inside (All good inside)\nFeel like I put some brand new twenty-fours on a brand new ride (On a brand new ride)\nTriple shot of Patron on the rocks with a little bit of lime (With a little bit of lime)\nI'm just keepin' it real, uh-huh\nBaby still workin' at the club so I'm gettin' in free (So I'm gettin' in free)\nWednesday night, I'm on the list, T-Pain plus three (T-Pain plus three)\nEvery time I hit the spot babygirl takin' care of me (Takin' care of me)\nHow do you think I feel?\nOoh, she made us drinks to drink, we drunk 'em, got drunk\nAnd now I know she thinks I'm cool\nShe gave me a wink, I winked back, and then I think that\nWe gon' have fun at my spot tonight\nI like the bartender (Ooh, if you lookin' for me)\nI'm at the bar with her (Oh oh oh uh-huh, okay)\nI like the bartender (Yeah, if you lookin' for me)\nI'm at the bar with her (Oh oh oh uh-huh, okay)\nShorty, I'm sure you heard that I rarely ever come out (Ever come out)\n'Less I'm in the M6, doin' tricks, freeway burnt out (Freeway burnt out)\nGot a passenger side that's empty wantin' it to be your spot (Be your spot)\nPut you on my Billboard, we can act like the charts, I can end up on top (And I end up on top)\nDon't smoke, don't drink, that's why I don't be by the bar baby (Baby)\nJust lookin' at you from a distance, lookin' like a goddamn star baby (Baby)\nSo my girl don't see me T-Pain, can I get those keys to the car? (Those keys to the car)\n'Bout to go and bang bang boogie with my cutie and I'll see you tomorrow (I'll see you tomorrow)\nOoh, she made us drinks to drink, we drunk 'em, got drunk\nAnd now I know, she thinks I'm cool (She thinks I'm cool)\nShe gave me a wink, I winked back (Uh-huh)\nAnd then I think that (Uh-huh)\nWe gon' have fun at my spot tonight (Oh, yeah, slide)\nI like the bartender (Ooh, if you lookin' for me)\nI'm at the bar with her (Oh oh oh uh-huh, okay)\nI like the bartender (Yeah, if you lookin' for me)\nI'm at the bar with her (Oh oh oh uh-huh, okay)\n\n🏷 Tags:\n#tpain #akon #bartender #lyrics","2025-08-19T00:00:17Z",UCvWhPqiJBsdsZmM9cEzQorg,SoundKream,"t-pain ft. akon - bartender (lyrics),t-pain - bartender (lyrics) ft. akon,t-pain bartender lyrics ft. akon,t-pain ft akon bartender,bartender t-pain ft akon,t-pain bartender ft akon,bartender lyrics akon tpain,tpain akon bartender song lyrics,t-pain bartender lyrics,bartender lyrics t-pain,t pain akon bartender lyrics,bartender t-pain lyrics,lyrics bartender t-pain,lyrics t-pain bartender,akon bartender lyrics,bartender lyrics akon,lyrics akon bartender,akon",10,46089,156,0,0,PT4M2S,hd,false
